province_id;name
11;KABUPATEN SIMEULUE
11;KABUPATEN ACEH SINGKIL
11;KABUPATEN ACEH SELATAN
11;KABUPATEN ACEH TENGGARA
11;KABUPATEN ACEH TIMUR
11;KABUPATEN ACEH TENGAH
11;KABUPATEN ACEH BARAT
11;KABUPATEN ACEH BESAR
11;KABUPATEN PIDIE
11;KABUPATEN BIREUEN
11;KABUPATEN ACEH UTARA
11;KABUPATEN ACEH BARAT DAYA
11;KABUPATEN GAYO LUES
11;KABUPATEN ACEH TAMIANG
11;KABUPATEN NAGAN RAYA
11;KABUPATEN ACEH JAYA
11;KABUPATEN BENER MERIAH
11;KABUPATEN PIDIE JAYA
11;KOTA BANDA ACEH
11;KOTA SABANG
11;KOTA LANGSA
11;KOTA LHOKSEUMAWE
11;KOTA SUBULUSSALAM
12;KABUPATEN NIAS
12;KABUPATEN MANDAILING NATAL
12;KABUPATEN TAPANULI SELATAN
12;KABUPATEN TAPANULI TENGAH
12;KABUPATEN TAPANULI UTARA
12;KABUPATEN TOBA SAMOSIR
12;KABUPATEN LABUHAN BATU
12;KABUPATEN ASAHAN
12;KABUPATEN SIMALUNGUN
12;KABUPATEN DAIRI
12;KABUPATEN KARO
12;KABUPATEN DELI SERDANG
12;KABUPATEN LANGKAT
12;KABUPATEN NIAS SELATAN
12;KABUPATEN HUMBANG HASUNDUTAN
12;KABUPATEN PAKPAK BHARAT
12;KABUPATEN SAMOSIR
12;KABUPATEN SERDANG BEDAGAI
12;KABUPATEN BATU BARA
12;KABUPATEN PADANG LAWAS UTARA
12;KABUPATEN PADANG LAWAS
12;KABUPATEN LABUHAN BATU SELATAN
12;KABUPATEN LABUHAN BATU UTARA
12;KABUPATEN NIAS UTARA
12;KABUPATEN NIAS BARAT
12;KOTA SIBOLGA
12;KOTA TANJUNG BALAI
12;KOTA PEMATANG SIANTAR
12;KOTA TEBING TINGGI
12;KOTA MEDAN
12;KOTA BINJAI
12;KOTA PADANGSIDIMPUAN
12;KOTA GUNUNGSITOLI
13;KABUPATEN KEPULAUAN MENTAWAI
13;KABUPATEN PESISIR SELATAN
13;KABUPATEN SOLOK
13;KABUPATEN SIJUNJUNG
13;KABUPATEN TANAH DATAR
13;KABUPATEN PADANG PARIAMAN
13;KABUPATEN AGAM
13;KABUPATEN LIMA PULUH KOTA
13;KABUPATEN PASAMAN
13;KABUPATEN SOLOK SELATAN
13;KABUPATEN DHARMASRAYA
13;KABUPATEN PASAMAN BARAT
13;KOTA PADANG
13;KOTA SOLOK
13;KOTA SAWAH LUNTO
13;KOTA PADANG PANJANG
13;KOTA BUKITTINGGI
13;KOTA PAYAKUMBUH
13;KOTA PARIAMAN
14;KABUPATEN KUANTAN SINGINGI
14;KABUPATEN INDRAGIRI HULU
14;KABUPATEN INDRAGIRI HILIR
14;KABUPATEN PELALAWAN
14;KABUPATEN S I A K
14;KABUPATEN KAMPAR
14;KABUPATEN ROKAN HULU
14;KABUPATEN BENGKALIS
14;KABUPATEN ROKAN HILIR
14;KABUPATEN KEPULAUAN MERANTI
14;KOTA PEKANBARU
14;KOTA D U M A I
15;KABUPATEN KERINCI
15;KABUPATEN MERANGIN
15;KABUPATEN SAROLANGUN
15;KABUPATEN BATANG HARI
15;KABUPATEN MUARO JAMBI
15;KABUPATEN TANJUNG JABUNG TIMUR
15;KABUPATEN TANJUNG JABUNG BARAT
15;KABUPATEN TEBO
15;KABUPATEN BUNGO
15;KOTA JAMBI
15;KOTA SUNGAI PENUH
16;KABUPATEN OGAN KOMERING ULU
16;KABUPATEN OGAN KOMERING ILIR
16;KABUPATEN MUARA ENIM
16;KABUPATEN LAHAT
16;KABUPATEN MUSI RAWAS
16;KABUPATEN MUSI BANYUASIN
16;KABUPATEN BANYU ASIN
16;KABUPATEN OGAN KOMERING ULU SELATAN
16;KABUPATEN OGAN KOMERING ULU TIMUR
16;KABUPATEN OGAN ILIR
16;KABUPATEN EMPAT LAWANG
16;KABUPATEN PENUKAL ABAB LEMATANG ILIR
16;KABUPATEN MUSI RAWAS UTARA
16;KOTA PALEMBANG
16;KOTA PRABUMULIH
16;KOTA PAGAR ALAM
16;KOTA LUBUKLINGGAU
17;KABUPATEN BENGKULU SELATAN
17;KABUPATEN REJANG LEBONG
17;KABUPATEN BENGKULU UTARA
17;KABUPATEN KAUR
17;KABUPATEN SELUMA
17;KABUPATEN MUKOMUKO
17;KABUPATEN LEBONG
17;KABUPATEN KEPAHIANG
17;KABUPATEN BENGKULU TENGAH
17;KOTA BENGKULU
18;KABUPATEN LAMPUNG BARAT
18;KABUPATEN TANGGAMUS
18;KABUPATEN LAMPUNG SELATAN
18;KABUPATEN LAMPUNG TIMUR
18;KABUPATEN LAMPUNG TENGAH
18;KABUPATEN LAMPUNG UTARA
18;KABUPATEN WAY KANAN
18;KABUPATEN TULANGBAWANG
18;KABUPATEN PESAWARAN
18;KABUPATEN PRINGSEWU
18;KABUPATEN MESUJI
18;KABUPATEN TULANG BAWANG BARAT
18;KABUPATEN PESISIR BARAT
18;KOTA BANDAR LAMPUNG
18;KOTA METRO
19;KABUPATEN BANGKA
19;KABUPATEN BELITUNG
19;KABUPATEN BANGKA BARAT
19;KABUPATEN BANGKA TENGAH
19;KABUPATEN BANGKA SELATAN
19;KABUPATEN BELITUNG TIMUR
19;KOTA PANGKAL PINANG
21;KABUPATEN KARIMUN
21;KABUPATEN BINTAN
21;KABUPATEN NATUNA
21;KABUPATEN LINGGA
21;KABUPATEN KEPULAUAN ANAMBAS
21;KOTA B A T A M
21;KOTA TANJUNG PINANG
31;KABUPATEN KEPULAUAN SERIBU
31;KOTA JAKARTA SELATAN
31;KOTA JAKARTA TIMUR
31;KOTA JAKARTA PUSAT
31;KOTA JAKARTA BARAT
31;KOTA JAKARTA UTARA
32;KABUPATEN BOGOR
32;KABUPATEN SUKABUMI
32;KABUPATEN CIANJUR
32;KABUPATEN BANDUNG
32;KABUPATEN GARUT
32;KABUPATEN TASIKMALAYA
32;KABUPATEN CIAMIS
32;KABUPATEN KUNINGAN
32;KABUPATEN CIREBON
32;KABUPATEN MAJALENGKA
32;KABUPATEN SUMEDANG
32;KABUPATEN INDRAMAYU
32;KABUPATEN SUBANG
32;KABUPATEN PURWAKARTA
32;KABUPATEN KARAWANG
32;KABUPATEN BEKASI
32;KABUPATEN BANDUNG BARAT
32;KABUPATEN PANGANDARAN
32;KOTA BOGOR
32;KOTA SUKABUMI
32;KOTA BANDUNG
32;KOTA CIREBON
32;KOTA BEKASI
32;KOTA DEPOK
32;KOTA CIMAHI
32;KOTA TASIKMALAYA
32;KOTA BANJAR
33;KABUPATEN CILACAP
33;KABUPATEN BANYUMAS
33;KABUPATEN PURBALINGGA
33;KABUPATEN BANJARNEGARA
33;KABUPATEN KEBUMEN
33;KABUPATEN PURWOREJO
33;KABUPATEN WONOSOBO
33;KABUPATEN MAGELANG
33;KABUPATEN BOYOLALI
33;KABUPATEN KLATEN
33;KABUPATEN SUKOHARJO
33;KABUPATEN WONOGIRI
33;KABUPATEN KARANGANYAR
33;KABUPATEN SRAGEN
33;KABUPATEN GROBOGAN
33;KABUPATEN BLORA
33;KABUPATEN REMBANG
33;KABUPATEN PATI
33;KABUPATEN KUDUS
33;KABUPATEN JEPARA
33;KABUPATEN DEMAK
33;KABUPATEN SEMARANG
33;KABUPATEN TEMANGGUNG
33;KABUPATEN KENDAL
33;KABUPATEN BATANG
33;KABUPATEN PEKALONGAN
33;KABUPATEN PEMALANG
33;KABUPATEN TEGAL
33;KABUPATEN BREBES
33;KOTA MAGELANG
33;KOTA SURAKARTA
33;KOTA SALATIGA
33;KOTA SEMARANG
33;KOTA PEKALONGAN
33;KOTA TEGAL
34;KABUPATEN KULON PROGO
34;KABUPATEN BANTUL
34;KABUPATEN GUNUNG KIDUL
34;KABUPATEN SLEMAN
34;KOTA YOGYAKARTA
35;KABUPATEN PACITAN
35;KABUPATEN PONOROGO
35;KABUPATEN TRENGGALEK
35;KABUPATEN TULUNGAGUNG
35;KABUPATEN BLITAR
35;KABUPATEN KEDIRI
35;KABUPATEN MALANG
35;KABUPATEN LUMAJANG
35;KABUPATEN JEMBER
35;KABUPATEN BANYUWANGI
35;KABUPATEN BONDOWOSO
35;KABUPATEN SITUBONDO
35;KABUPATEN PROBOLINGGO
35;KABUPATEN PASURUAN
35;KABUPATEN SIDOARJO
35;KABUPATEN MOJOKERTO
35;KABUPATEN JOMBANG
35;KABUPATEN NGANJUK
35;KABUPATEN MADIUN
35;KABUPATEN MAGETAN
35;KABUPATEN NGAWI
35;KABUPATEN BOJONEGORO
35;KABUPATEN TUBAN
35;KABUPATEN LAMONGAN
35;KABUPATEN GRESIK
35;KABUPATEN BANGKALAN
35;KABUPATEN SAMPANG
35;KABUPATEN PAMEKASAN
35;KABUPATEN SUMENEP
35;KOTA KEDIRI
35;KOTA BLITAR
35;KOTA MALANG
35;KOTA PROBOLINGGO
35;KOTA PASURUAN
35;KOTA MOJOKERTO
35;KOTA MADIUN
35;KOTA SURABAYA
35;KOTA BATU
36;KABUPATEN PANDEGLANG
36;KABUPATEN LEBAK
36;KABUPATEN TANGERANG
36;KABUPATEN SERANG
36;KOTA TANGERANG
36;KOTA CILEGON
36;KOTA SERANG
36;KOTA TANGERANG SELATAN
51;KABUPATEN JEMBRANA
51;KABUPATEN TABANAN
51;KABUPATEN BADUNG
51;KABUPATEN GIANYAR
51;KABUPATEN KLUNGKUNG
51;KABUPATEN BANGLI
51;KABUPATEN KARANG ASEM
51;KABUPATEN BULELENG
51;KOTA DENPASAR
52;KABUPATEN LOMBOK BARAT
52;KABUPATEN LOMBOK TENGAH
52;KABUPATEN LOMBOK TIMUR
52;KABUPATEN SUMBAWA
52;KABUPATEN DOMPU
52;KABUPATEN BIMA
52;KABUPATEN SUMBAWA BARAT
52;KABUPATEN LOMBOK UTARA
52;KOTA MATARAM
52;KOTA BIMA
53;KABUPATEN SUMBA BARAT
53;KABUPATEN SUMBA TIMUR
53;KABUPATEN KUPANG
53;KABUPATEN TIMOR TENGAH SELATAN
53;KABUPATEN TIMOR TENGAH UTARA
53;KABUPATEN BELU
53;KABUPATEN ALOR
53;KABUPATEN LEMBATA
53;KABUPATEN FLORES TIMUR
53;KABUPATEN SIKKA
53;KABUPATEN ENDE
53;KABUPATEN NGADA
53;KABUPATEN MANGGARAI
53;KABUPATEN ROTE NDAO
53;KABUPATEN MANGGARAI BARAT
53;KABUPATEN SUMBA TENGAH
53;KABUPATEN SUMBA BARAT DAYA
53;KABUPATEN NAGEKEO
53;KABUPATEN MANGGARAI TIMUR
53;KABUPATEN SABU RAIJUA
53;KABUPATEN MALAKA
53;KOTA KUPANG
61;KABUPATEN SAMBAS
61;KABUPATEN BENGKAYANG
61;KABUPATEN LANDAK
61;KABUPATEN MEMPAWAH
61;KABUPATEN SANGGAU
61;KABUPATEN KETAPANG
61;KABUPATEN SINTANG
61;KABUPATEN KAPUAS HULU
61;KABUPATEN SEKADAU
61;KABUPATEN MELAWI
61;KABUPATEN KAYONG UTARA
61;KABUPATEN KUBU RAYA
61;KOTA PONTIANAK
61;KOTA SINGKAWANG
62;KABUPATEN KOTAWARINGIN BARAT
62;KABUPATEN KOTAWARINGIN TIMUR
62;KABUPATEN KAPUAS
62;KABUPATEN BARITO SELATAN
62;KABUPATEN BARITO UTARA
62;KABUPATEN SUKAMARA
62;KABUPATEN LAMANDAU
62;KABUPATEN SERUYAN
62;KABUPATEN KATINGAN
62;KABUPATEN PULANG PISAU
62;KABUPATEN GUNUNG MAS
62;KABUPATEN BARITO TIMUR
62;KABUPATEN MURUNG RAYA
62;KOTA PALANGKA RAYA
63;KABUPATEN TANAH LAUT
63;KABUPATEN KOTA BARU
63;KABUPATEN BANJAR
63;KABUPATEN BARITO KUALA
63;KABUPATEN TAPIN
63;KABUPATEN HULU SUNGAI SELATAN
63;KABUPATEN HULU SUNGAI TENGAH
63;KABUPATEN HULU SUNGAI UTARA
63;KABUPATEN TABALONG
63;KABUPATEN TANAH BUMBU
63;KABUPATEN BALANGAN
63;KOTA BANJARMASIN
63;KOTA BANJAR BARU
64;KABUPATEN PASER
64;KABUPATEN KUTAI BARAT
64;KABUPATEN KUTAI KARTANEGARA
64;KABUPATEN KUTAI TIMUR
64;KABUPATEN BERAU
64;KABUPATEN PENAJAM PASER UTARA
64;KABUPATEN MAHAKAM HULU
64;KOTA BALIKPAPAN
64;KOTA SAMARINDA
64;KOTA BONTANG
65;KABUPATEN MALINAU
65;KABUPATEN BULUNGAN
65;KABUPATEN TANA TIDUNG
65;KABUPATEN NUNUKAN
65;KOTA TARAKAN
71;KABUPATEN BOLAANG MONGONDOW
71;KABUPATEN MINAHASA
71;KABUPATEN KEPULAUAN SANGIHE
71;KABUPATEN KEPULAUAN TALAUD
71;KABUPATEN MINAHASA SELATAN
71;KABUPATEN MINAHASA UTARA
71;KABUPATEN BOLAANG MONGONDOW UTARA
71;KABUPATEN SIAU TAGULANDANG BIARO
71;KABUPATEN MINAHASA TENGGARA
71;KABUPATEN BOLAANG MONGONDOW SELATAN
71;KABUPATEN BOLAANG MONGONDOW TIMUR
71;KOTA MANADO
71;KOTA BITUNG
71;KOTA TOMOHON
71;KOTA KOTAMOBAGU
72;KABUPATEN BANGGAI KEPULAUAN
72;KABUPATEN BANGGAI
72;KABUPATEN MOROWALI
72;KABUPATEN POSO
72;KABUPATEN DONGGALA
72;KABUPATEN TOLI-TOLI
72;KABUPATEN BUOL
72;KABUPATEN PARIGI MOUTONG
72;KABUPATEN TOJO UNA-UNA
72;KABUPATEN SIGI
72;KABUPATEN BANGGAI LAUT
72;KABUPATEN MOROWALI UTARA
72;KOTA PALU
73;KABUPATEN KEPULAUAN SELAYAR
73;KABUPATEN BULUKUMBA
73;KABUPATEN BANTAENG
73;KABUPATEN JENEPONTO
73;KABUPATEN TAKALAR
73;KABUPATEN GOWA
73;KABUPATEN SINJAI
73;KABUPATEN MAROS
73;KABUPATEN PANGKAJENE DAN KEPULAUAN
73;KABUPATEN BARRU
73;KABUPATEN BONE
73;KABUPATEN SOPPENG
73;KABUPATEN WAJO
73;KABUPATEN SIDENRENG RAPPANG
73;KABUPATEN PINRANG
73;KABUPATEN ENREKANG
73;KABUPATEN LUWU
73;KABUPATEN TANA TORAJA
73;KABUPATEN LUWU UTARA
73;KABUPATEN LUWU TIMUR
73;KABUPATEN TORAJA UTARA
73;KOTA MAKASSAR
73;KOTA PAREPARE
73;KOTA PALOPO
74;KABUPATEN BUTON
74;KABUPATEN MUNA
74;KABUPATEN KONAWE
74;KABUPATEN KOLAKA
74;KABUPATEN KONAWE SELATAN
74;KABUPATEN BOMBANA
74;KABUPATEN WAKATOBI
74;KABUPATEN KOLAKA UTARA
74;KABUPATEN BUTON UTARA
74;KABUPATEN KONAWE UTARA
74;KABUPATEN KOLAKA TIMUR
74;KABUPATEN KONAWE KEPULAUAN
74;KABUPATEN MUNA BARAT
74;KABUPATEN BUTON TENGAH
74;KABUPATEN BUTON SELATAN
74;KOTA KENDARI
74;KOTA BAUBAU
75;KABUPATEN BOALEMO
75;KABUPATEN GORONTALO
75;KABUPATEN POHUWATO
75;KABUPATEN BONE BOLANGO
75;KABUPATEN GORONTALO UTARA
75;KOTA GORONTALO
76;KABUPATEN MAJENE
76;KABUPATEN POLEWALI MANDAR
76;KABUPATEN MAMASA
76;KABUPATEN MAMUJU
76;KABUPATEN MAMUJU UTARA
76;KABUPATEN MAMUJU TENGAH
81;KABUPATEN MALUKU TENGGARA BARAT
81;KABUPATEN MALUKU TENGGARA
81;KABUPATEN MALUKU TENGAH
81;KABUPATEN BURU
81;KABUPATEN KEPULAUAN ARU
81;KABUPATEN SERAM BAGIAN BARAT
81;KABUPATEN SERAM BAGIAN TIMUR
81;KABUPATEN MALUKU BARAT DAYA
81;KABUPATEN BURU SELATAN
81;KOTA AMBON
81;KOTA TUAL
82;KABUPATEN HALMAHERA BARAT
82;KABUPATEN HALMAHERA TENGAH
82;KABUPATEN KEPULAUAN SULA
82;KABUPATEN HALMAHERA SELATAN
82;KABUPATEN HALMAHERA UTARA
82;KABUPATEN HALMAHERA TIMUR
82;KABUPATEN PULAU MOROTAI
82;KABUPATEN PULAU TALIABU
82;KOTA TERNATE
82;KOTA TIDORE KEPULAUAN
91;KABUPATEN FAKFAK
91;KABUPATEN KAIMANA
91;KABUPATEN TELUK WONDAMA
91;KABUPATEN TELUK BINTUNI
91;KABUPATEN MANOKWARI
91;KABUPATEN SORONG SELATAN
91;KABUPATEN SORONG
91;KABUPATEN RAJA AMPAT
91;KABUPATEN TAMBRAUW
91;KABUPATEN MAYBRAT
91;KABUPATEN MANOKWARI SELATAN
91;KABUPATEN PEGUNUNGAN ARFAK
91;KOTA SORONG
94;KABUPATEN MERAUKE
94;KABUPATEN JAYAWIJAYA
94;KABUPATEN JAYAPURA
94;KABUPATEN NABIRE
94;KABUPATEN KEPULAUAN YAPEN
94;KABUPATEN BIAK NUMFOR
94;KABUPATEN PANIAI
94;KABUPATEN PUNCAK JAYA
94;KABUPATEN MIMIKA
94;KABUPATEN BOVEN DIGOEL
94;KABUPATEN MAPPI
94;KABUPATEN ASMAT
94;KABUPATEN YAHUKIMO
94;KABUPATEN PEGUNUNGAN BINTANG
94;KABUPATEN TOLIKARA
94;KABUPATEN SARMI
94;KABUPATEN KEEROM
94;KABUPATEN WAROPEN
94;KABUPATEN SUPIORI
94;KABUPATEN MAMBERAMO RAYA
94;KABUPATEN NDUGA
94;KABUPATEN LANNY JAYA
94;KABUPATEN MAMBERAMO TENGAH
94;KABUPATEN YALIMO
94;KABUPATEN PUNCAK
94;KABUPATEN DOGIYAI
94;KABUPATEN INTAN JAYA
94;KABUPATEN DEIYAI
94;KOTA JAYAPURA
99;OTHER